"Freq","% Valid","% Valid Cum.","% Total","% Total Cum."
22,37.2881355932203,37.2881355932203,37.2881355932203,37.2881355932203
8,13.5593220338983,50.8474576271186,13.5593220338983,50.8474576271186
3,5.08474576271187,55.9322033898305,5.08474576271187,55.9322033898305
2,3.38983050847458,59.3220338983051,3.38983050847458,59.3220338983051
2,3.38983050847458,62.7118644067797,3.38983050847458,62.7118644067797
2,3.38983050847458,66.1016949152542,3.38983050847458,66.1016949152542
2,3.38983050847458,69.4915254237288,3.38983050847458,69.4915254237288
1,1.69491525423729,71.1864406779661,1.69491525423729,71.1864406779661
1,1.69491525423729,72.8813559322034,1.69491525423729,72.8813559322034
1,1.69491525423729,74.5762711864407,1.69491525423729,74.5762711864407
1,1.69491525423729,76.271186440678,1.69491525423729,76.271186440678
1,1.69491525423729,77.9661016949153,1.69491525423729,77.9661016949153
1,1.69491525423729,79.6610169491525,1.69491525423729,79.6610169491525
1,1.69491525423729,81.3559322033898,1.69491525423729,81.3559322033898
1,1.69491525423729,83.0508474576271,1.69491525423729,83.0508474576271
1,1.69491525423729,84.7457627118644,1.69491525423729,84.7457627118644
1,1.69491525423729,86.4406779661017,1.69491525423729,86.4406779661017
1,1.69491525423729,88.135593220339,1.69491525423729,88.135593220339
1,1.69491525423729,89.8305084745763,1.69491525423729,89.8305084745763
1,1.69491525423729,91.5254237288136,1.69491525423729,91.5254237288136
1,1.69491525423729,93.2203389830509,1.69491525423729,93.2203389830509
1,1.69491525423729,94.9152542372881,1.69491525423729,94.9152542372881
1,1.69491525423729,96.6101694915254,1.69491525423729,96.6101694915254
1,1.69491525423729,98.3050847457627,1.69491525423729,98.3050847457627
1,1.69491525423729,100,1.69491525423729,100
0,NA,NA,0,100
59,100,100,100,100
