CAMEL_ID_NUMBER,ISOLATE_ID,Community,Boma,LPS,AGE,Gender,Sample_Type,Transport_media,mo,Colony_Morphology,Gram_staining,IMVIC_Test,AMC,AMP,CAZ,CTX,CRO,CXM,FEP,CEC,TCY,GEN,STR1,CHL,CIP,SXT,NOR,MDR,TEM,SHV,CTX_M,OXA
152,152-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
153,153-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
154,154-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
155,155-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
156,156-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,R,S,I,S,S,I,I,R,S,I,S,I,S,S,3,TEM-116,NEG,NEG,NEG
157,157-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Smooth Margin, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,I,R,S,I,I,I,S,S,S,S,S,S,S,4,TEM-116,NEG,NEG,NEG
158,158-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
159,159-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small,Round, Raised Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,R,S,I,S,S,S,S,0,NEG,NEG,NEG,NEG
160,160-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
161,161-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,R,S,I,S,S,I,S,S,S,S,S,S,S,1,NEG,NEG,NEG,NEG
162,162-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small,Round, Raised Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,1,NEG,NEG,NEG,NEG
163,163-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,R,S,S,S,S,S,I,R,S,S,S,S,S,S,2,TEM-104,NEG,NEG,NEG
164,164-1a,Int.B,,Intensive,Juvenile,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,I,I,S,I,S,S,1,TEM-116,NEG,NEG,NEG
165,165-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,I,I,R,I,I,S,R,R,I,R,S,I,R,S,6,NEG,NEG,NEG,NEG
166,166-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
167,167-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
168,168-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
169,169-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
170,170-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
171,171-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,I,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
172,172-1a,Int.B,,Intensive,Juvenile,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
173,173-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
174,174-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,R,R,R,R,R,R,R,R,S,I,S,I,R,S,7,TEM-1A,NEG,CTX-M-15,NEG
175,175-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
176,176-1a,Int.B,Top spray,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,,Gram -ve rods,POSITIVE,S,S,I,S,S,S,S,I,S,S,S,S,S,S,S,2,NEG,NEG,NEG,NEG
177,177-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,0,NEG,NEG,NEG,NEG
178,178-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,I,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
179,179-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Elevated Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,I,R,S,I,S,S,I,S,S,3,TEM-243,NEG,NEG,NEG
180,180-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,I,R,R,R,S,I,I,S,S,S,S,S,S,S,5,TEM-116,NEG,NEG,NEG
181,181-1a,Int.B,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
182,182-1a,Ext.A,Loruba,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,S,S,S,I,S,S,1,NEG,NEG,NEG,NEG
183,183-1a,Ext.A,Loruba,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Raised, Smooth Margin, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,1,NEG,NEG,NEG,NEG
184,184-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
185,185-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
186,186-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,I,S,S,I,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
187,187-1a,Int.B,,Intensive,Juvenile,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,R,I,R,I,I,I,R,S,I,S,S,R,S,S,7,TEM-243,NEG,CTX-M-15,NEG
188,188-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
189,189-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
190,190-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
