CAMEL_ID_NUMBER,ISOLATE_ID,Community,Boma,LPS,AGE,Gender,Sample_Type,Transport_media,mo,Colony_Morphology,Gram_staining,IMVIC_Test,AMC,AMP,CAZ,CTX,CRO,CXM,FEP,CEC,TCY,GEN,STR1,CHL,CIP,SXT,NOR,MDR,TEM,SHV,CTX_M,OXA
103,103-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,Gram -ve rods,Negative,S,S,I,I,S,S,S,I,S,S,S,S,S,S,S,0,NEG,NEG,NEG,NEG
104,104-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
105,105-1a,Ext.A,Kishine,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Irregular, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,I,I,S,S,S,S,R,S,I,S,S,I,S,S,3,NEG,NEG,NEG,NEG
106,106-1a,Ext.A,Kishine,Extensive,Sub-adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
107,107-1a,Ext.A,Kishine,Extensive,Sub-adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
108,108-1a,Ext.A,Kishine,Extensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,,Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
109,109-1a,Ext.A,Kishine,Extensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small, Flat, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,I,I,I,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
110,110-1a,Ext.A,Kishine,Extensive,Sub-adult,Male,Fecal swab,Cary blair,Others,,,Negative,,,,,,,,,,,,,,,,,,,,
111,111-1a,Ext.A,Kishine,Extensive,Sub-adult,Male,Fecal swab,Cary blair,Others,,,Negative,,,,,,,,,,,,,,,,,,,,
112,112-1a,Ext.A,Jeremy,Extensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Flat, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,S,S,S,I,R,S,S,S,S,I,S,S,1,NEG,NEG,NEG,NEG
